Date,Count
11/14/1917,44
11/15/1917,13
11/16/1917,18
11/17/1917,7
11/18/1917,6
11/19/1917,18
11/20/1917,11
11/21/1917,9
11/22/1917,26
11/23/1917,12
11/24/1917,32
11/25/1917,19
11/26/1917,16
11/27/1917,13
11/28/1917,18
11/29/1917,19
11/30/1917,21
12/01/1917,9
12/02/1917,10
12/03/1917,145
12/04/1917,15
12/05/1917,32
12/06/1917,17
12/07/1917,20
12/08/1917,17
12/09/1917,14
12/10/1917,10
12/11/1917,12
12/12/1917,11
12/13/1917,18
12/14/1917,27
12/15/1917,20
12/16/1917,17
12/17/1917,11
12/18/1917,8
12/19/1917,3
12/20/1917,19
12/21/1917,7
12/22/1917,12
12/23/1917,15
12/24/1917,25
12/25/1917,9
12/26/1917,7
12/27/1917,14
12/28/1917,30
12/29/1917,9
12/30/1917,6
12/31/1917,14
1/01/1918,12
1/02/1918,7
1/03/1918,11
1/04/1918,13
1/05/1918,2
1/06/1918,6
1/07/1918,11
1/08/1918,9
1/09/1918,12
1/10/1918,23
1/11/1918,9
1/12/1918,9
1/13/1918,18
1/14/1918,6
1/15/1918,5
1/16/1918,5
1/17/1918,2
1/18/1918,5
1/19/1918,2
1/20/1918,8
1/21/1918,12
1/22/1918,9
1/23/1918,8
1/24/1918,5
1/25/1918,5
1/26/1918,4
1/27/1918,1
1/28/1918,6
1/29/1918,4
1/30/1918,7
1/31/1918,2
2/01/1918,7
2/02/1918,8
2/03/1918,6
2/04/1918,9
2/05/1918,8
2/06/1918,6
2/07/1918,4
2/08/1918,6
2/09/1918,8
2/10/1918,6
2/11/1918,8
2/12/1918,5
2/13/1918,6
2/14/1918,2
2/15/1918,3
2/16/1918,10
2/17/1918,5
2/18/1918,12
2/19/1918,7
2/20/1918,11
2/21/1918,6
2/22/1918,4
2/23/1918,3
2/24/1918,5
2/25/1918,2
2/26/1918,3
2/27/1918,3
2/28/1918,2
3/01/1918,3
3/02/1918,2
3/03/1918,4
3/04/1918,1
3/05/1918,2
3/06/1918,2
3/08/1918,2
3/09/1918,2
3/10/1918,1
3/11/1918,1
3/12/1918,2
